Date,Code,Description,Unit of Measure,Value
1974/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,730.0
1974/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,711.1
1974/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,657.1
1975/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,711.3
1975/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,693.1
1975/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,678.2
1975/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,694.3
1975/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,688.3
1975/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,696.2
1975/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,693.2
1975/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,684.0
1975/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,688.4
1975/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,678.7
1975/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,696.4
1975/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,669.0
1976/01,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,678.9
1976/02,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,683.3
1976/03,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,682.4
1976/04,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,676.0
1976/05,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,680.5
1976/06,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,705.2
1976/07,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,682.9
1976/08,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,691.4
1976/09,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,691.9
1976/10,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,693.4
1976/11,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,683.8
1976/12,KBP7060N,Indicators of real economic activity: Mining production:     Gold,Index,687.7
