Date,Code,Description,Unit of Measure,Value
1997/08,KBP5357M,London gold price in US dollar,[object Object],323.95
1997/09,KBP5357M,London gold price in US dollar,[object Object],322.72
1997/10,KBP5357M,London gold price in US dollar,[object Object],324.86
1997/11,KBP5357M,London gold price in US dollar,[object Object],306.19
1997/12,KBP5357M,London gold price in US dollar,[object Object],288.96
1998/01,KBP5357M,London gold price in US dollar,[object Object],289.18
1998/02,KBP5357M,London gold price in US dollar,[object Object],297.62
1998/03,KBP5357M,London gold price in US dollar,[object Object],295.91
1998/04,KBP5357M,London gold price in US dollar,[object Object],308.42
1998/05,KBP5357M,London gold price in US dollar,[object Object],299.45
1998/06,KBP5357M,London gold price in US dollar,[object Object],292.29
1998/07,KBP5357M,London gold price in US dollar,[object Object],292.87
1998/08,KBP5357M,London gold price in US dollar,[object Object],283.68
1998/09,KBP5357M,London gold price in US dollar,[object Object],288.82
1998/10,KBP5357M,London gold price in US dollar,[object Object],296.26
1998/11,KBP5357M,London gold price in US dollar,[object Object],294.18
1998/12,KBP5357M,London gold price in US dollar,[object Object],291.00
1999/01,KBP5357M,London gold price in US dollar,[object Object],287.19
1999/02,KBP5357M,London gold price in US dollar,[object Object],287.41
1999/03,KBP5357M,London gold price in US dollar,[object Object],286.10
1999/04,KBP5357M,London gold price in US dollar,[object Object],282.62
1999/05,KBP5357M,London gold price in US dollar,[object Object],276.84
1999/06,KBP5357M,London gold price in US dollar,[object Object],261.36
1999/07,KBP5357M,London gold price in US dollar,[object Object],256.14
1999/08,KBP5357M,London gold price in US dollar,[object Object],256.70
1999/09,KBP5357M,London gold price in US dollar,[object Object],264.61
1999/10,KBP5357M,London gold price in US dollar,[object Object],311.14
1999/11,KBP5357M,London gold price in US dollar,[object Object],293.42
1999/12,KBP5357M,London gold price in US dollar,[object Object],283.55
2000/01,KBP5357M,London gold price in US dollar,[object Object],284.46
2000/02,KBP5357M,London gold price in US dollar,[object Object],300.36
2000/03,KBP5357M,London gold price in US dollar,[object Object],286.56
2000/04,KBP5357M,London gold price in US dollar,[object Object],279.83
2000/05,KBP5357M,London gold price in US dollar,[object Object],275.04
2000/06,KBP5357M,London gold price in US dollar,[object Object],285.33
2000/07,KBP5357M,London gold price in US dollar,[object Object],281.87
2000/08,KBP5357M,London gold price in US dollar,[object Object],274.45
2000/09,KBP5357M,London gold price in US dollar,[object Object],273.68
2000/10,KBP5357M,London gold price in US dollar,[object Object],270.20
2000/11,KBP5357M,London gold price in US dollar,[object Object],266.02
2000/12,KBP5357M,London gold price in US dollar,[object Object],271.79
2001/01,KBP5357M,London gold price in US dollar,[object Object],265.71
2001/02,KBP5357M,London gold price in US dollar,[object Object],261.94
2001/03,KBP5357M,London gold price in US dollar,[object Object],263.20
2001/04,KBP5357M,London gold price in US dollar,[object Object],260.65
2001/05,KBP5357M,London gold price in US dollar,[object Object],272.59
2001/06,KBP5357M,London gold price in US dollar,[object Object],270.48
2001/07,KBP5357M,London gold price in US dollar,[object Object],267.61
2001/08,KBP5357M,London gold price in US dollar,[object Object],272.67
2001/09,KBP5357M,London gold price in US dollar,[object Object],282.85
2001/10,KBP5357M,London gold price in US dollar,[object Object],283.19
2001/11,KBP5357M,London gold price in US dollar,[object Object],276.21
2001/12,KBP5357M,London gold price in US dollar,[object Object],275.89
2002/01,KBP5357M,London gold price in US dollar,[object Object],281.64
2002/02,KBP5357M,London gold price in US dollar,[object Object],295.59
2002/03,KBP5357M,London gold price in US dollar,[object Object],294.20
2002/04,KBP5357M,London gold price in US dollar,[object Object],302.75
2002/05,KBP5357M,London gold price in US dollar,[object Object],314.55
2002/06,KBP5357M,London gold price in US dollar,[object Object],321.86
2002/07,KBP5357M,London gold price in US dollar,[object Object],313.43
2002/08,KBP5357M,London gold price in US dollar,[object Object],309.96
2002/09,KBP5357M,London gold price in US dollar,[object Object],318.97
2002/10,KBP5357M,London gold price in US dollar,[object Object],316.65
2002/11,KBP5357M,London gold price in US dollar,[object Object],319.16
2002/12,KBP5357M,London gold price in US dollar,[object Object],333.21
2003/01,KBP5357M,London gold price in US dollar,[object Object],356.85
2003/02,KBP5357M,London gold price in US dollar,[object Object],359.27
2003/03,KBP5357M,London gold price in US dollar,[object Object],341.06
2003/04,KBP5357M,London gold price in US dollar,[object Object],328.19
2003/05,KBP5357M,London gold price in US dollar,[object Object],355.54
2003/06,KBP5357M,London gold price in US dollar,[object Object],356.65
2003/07,KBP5357M,London gold price in US dollar,[object Object],350.89
2003/08,KBP5357M,London gold price in US dollar,[object Object],359.55
2003/09,KBP5357M,London gold price in US dollar,[object Object],378.90
2003/10,KBP5357M,London gold price in US dollar,[object Object],379.01
2003/11,KBP5357M,London gold price in US dollar,[object Object],390.05
2003/12,KBP5357M,London gold price in US dollar,[object Object],407.79
2004/01,KBP5357M,London gold price in US dollar,[object Object],414.14
2004/02,KBP5357M,London gold price in US dollar,[object Object],404.80
2004/03,KBP5357M,London gold price in US dollar,[object Object],406.58
2004/04,KBP5357M,London gold price in US dollar,[object Object],403.46
2004/05,KBP5357M,London gold price in US dollar,[object Object],384.52
2004/06,KBP5357M,London gold price in US dollar,[object Object],392.17
2004/07,KBP5357M,London gold price in US dollar,[object Object],398.27
2004/08,KBP5357M,London gold price in US dollar,[object Object],400.73
2004/09,KBP5357M,London gold price in US dollar,[object Object],405.29
2004/10,KBP5357M,London gold price in US dollar,[object Object],420.34
2004/11,KBP5357M,London gold price in US dollar,[object Object],439.22
2004/12,KBP5357M,London gold price in US dollar,[object Object],442.50
2005/01,KBP5357M,London gold price in US dollar,[object Object],424.21
2005/02,KBP5357M,London gold price in US dollar,[object Object],423.39
2005/03,KBP5357M,London gold price in US dollar,[object Object],434.22
2005/04,KBP5357M,London gold price in US dollar,[object Object],429.11
2005/05,KBP5357M,London gold price in US dollar,[object Object],422.20
2005/06,KBP5357M,London gold price in US dollar,[object Object],430.64
2005/07,KBP5357M,London gold price in US dollar,[object Object],424.61
2005/08,KBP5357M,London gold price in US dollar,[object Object],437.73
2005/09,KBP5357M,London gold price in US dollar,[object Object],455.99
2005/10,KBP5357M,London gold price in US dollar,[object Object],470.01
2005/11,KBP5357M,London gold price in US dollar,[object Object],476.67
2005/12,KBP5357M,London gold price in US dollar,[object Object],509.32
2006/01,KBP5357M,London gold price in US dollar,[object Object],549.65
2006/02,KBP5357M,London gold price in US dollar,[object Object],555.61
2006/03,KBP5357M,London gold price in US dollar,[object Object],556.95
2006/04,KBP5357M,London gold price in US dollar,[object Object],611.56
2006/05,KBP5357M,London gold price in US dollar,[object Object],674.75
2006/06,KBP5357M,London gold price in US dollar,[object Object],597.29
2006/07,KBP5357M,London gold price in US dollar,[object Object],633.40
2006/08,KBP5357M,London gold price in US dollar,[object Object],631.58
2006/09,KBP5357M,London gold price in US dollar,[object Object],599.60
2006/10,KBP5357M,London gold price in US dollar,[object Object],586.21
2006/11,KBP5357M,London gold price in US dollar,[object Object],627.33
2006/12,KBP5357M,London gold price in US dollar,[object Object],629.56
2007/01,KBP5357M,London gold price in US dollar,[object Object],630.76
2007/02,KBP5357M,London gold price in US dollar,[object Object],664.92
2007/03,KBP5357M,London gold price in US dollar,[object Object],655.53
2007/04,KBP5357M,London gold price in US dollar,[object Object],679.36
2007/05,KBP5357M,London gold price in US dollar,[object Object],667.44
