"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","46,313.78","45,527.50","46,693.83","45,398.82","","1.87%"
"09/30/2024","45,462.20","45,463.73","45,620.85","45,249.29","","0.00%"
"09/27/2024","45,463.47","45,913.00","46,091.99","45,189.72","","-0.82%"
"09/26/2024","45,838.77","45,908.53","46,286.16","45,575.16","","-0.01%"
"09/25/2024","45,844.85","45,872.64","46,187.27","45,540.38","","0.01%"
"09/24/2024","45,839.51","45,624.45","46,099.33","45,316.71","","0.65%"
"09/23/2024","45,544.42","45,672.85","45,811.68","45,446.09","","-0.23%"
"09/20/2024","45,651.41","45,269.66","45,950.20","45,250.11","","0.88%"
"09/19/2024","45,251.12","44,916.85","45,429.66","44,811.58","","0.88%"
"09/18/2024","44,857.85","45,221.51","45,404.93","44,723.02","","-0.72%"
"09/17/2024","45,183.67","45,486.04","45,682.24","45,140.58","","-0.60%"
"09/16/2024","45,455.45","45,773.82","45,859.94","45,452.76","","-0.62%"
"09/13/2024","45,741.12","45,492.38","45,916.33","45,373.73","","0.62%"
"09/12/2024","45,457.81","44,957.84","45,729.84","44,922.09","","1.16%"
"09/11/2024","44,935.43","45,165.82","45,256.11","44,878.93","","-0.40%"
"09/10/2024","45,116.57","44,820.70","45,204.14","44,598.77","","0.86%"
"09/09/2024","44,732.96","44,600.34","44,847.27","44,414.86","","0.34%"
"09/06/2024","44,579.89","44,574.04","44,922.59","44,356.84","","0.06%"
"09/05/2024","44,555.18","44,579.18","44,847.58","44,383.12","","0.02%"
"09/04/2024","44,546.02","44,829.59","44,927.26","44,350.05","","-0.53%"
"09/03/2024","44,785.28","44,573.14","44,974.11","44,366.47","","0.53%"
"09/02/2024","44,550.34","44,624.65","44,896.60","44,469.38","","-0.13%"
"08/30/2024","44,608.29","44,772.39","44,779.98","44,327.95","","-0.29%"
"08/29/2024","44,736.42","44,599.89","44,928.35","44,395.85","","0.31%"
"08/28/2024","44,599.79","44,802.17","44,849.41","44,368.77","","-0.28%"
"08/27/2024","44,724.47","44,641.46","44,773.25","44,359.86","","0.26%"
"08/26/2024","44,609.03","44,515.12","45,026.18","44,459.70","","0.25%"
"08/23/2024","44,496.26","44,718.39","44,995.69","44,354.19","","-0.47%"
"08/22/2024","44,704.33","44,837.41","45,091.14","44,529.88","","-0.14%"
"08/21/2024","44,768.39","44,793.53","44,979.64","44,594.63","","0.13%"
"08/20/2024","44,711.19","44,310.04","45,218.50","44,268.05","","0.88%"
"08/19/2024","44,322.84","44,812.59","44,849.33","44,229.40","","-0.99%"
"08/16/2024","44,766.93","44,243.17","44,849.73","43,979.51","","1.27%"
"08/15/2024","44,206.12","44,239.69","44,484.73","43,916.02","","0.00%"
"08/14/2024","44,208.12","44,625.25","44,840.69","44,090.76","","-0.89%"
"08/13/2024","44,604.81","45,150.32","45,239.48","44,590.16","","-1.01%"
"08/12/2024","45,059.90","44,543.66","45,198.70","44,331.25","","1.23%"
"08/09/2024","44,510.49","44,571.69","44,652.78","44,232.86","","-0.10%"
"08/08/2024","44,556.99","43,859.30","44,613.13","43,659.06","","1.69%"
"08/07/2024","43,814.49","44,246.03","44,246.03","43,752.30","","-0.89%"
"08/06/2024","44,208.54","44,609.98","44,872.02","44,013.91","","-0.99%"
"08/05/2024","44,650.44","44,667.36","45,322.84","43,983.16","","-0.06%"
"08/02/2024","44,678.05","44,694.61","45,223.82","43,932.68","","0.03%"
"08/01/2024","44,663.20","44,548.54","44,738.23","44,272.04","","0.32%"
"07/31/2024","44,521.44","44,196.05","44,683.57","43,938.77","","0.86%"
"07/30/2024","44,139.68","43,987.75","44,256.81","43,711.02","","0.39%"
"07/29/2024","43,968.12","43,715.43","44,283.73","43,613.57","","0.70%"
"07/26/2024","43,663.35","43,386.84","43,745.55","43,195.53","","0.67%"
"07/25/2024","43,370.86","43,924.59","44,107.78","43,188.00","","-1.22%"
"07/24/2024","43,907.84","44,313.88","44,557.98","43,917.04","","-0.80%"
"07/23/2024","44,263.67","43,776.07","44,457.36","43,659.23","","1.17%"
"07/22/2024","43,752.39","43,923.93","44,066.95","43,573.23","","-0.25%"
"07/19/2024","43,861.95","44,682.44","44,692.02","43,788.52","","-1.76%"
"07/18/2024","44,648.74","44,824.57","45,008.36","44,548.61","","-0.20%"
"07/17/2024","44,740.34","44,654.96","45,146.26","44,483.13","","0.24%"
"07/16/2024","44,631.74","44,085.78","44,654.33","44,032.89","","1.31%"
"07/15/2024","44,052.79","43,295.48","44,450.55","43,261.45","","1.83%"
"07/12/2024","43,259.86","43,484.52","43,525.41","42,988.08","","-0.44%"
"07/11/2024","43,451.59","42,979.69","43,681.87","42,894.39","","1.16%"
"07/10/2024","42,951.79","42,852.48","43,182.98","42,820.25","","0.28%"
"07/09/2024","42,830.13","42,774.60","43,020.82","42,621.12","","0.29%"
"07/08/2024","42,708.04","43,470.03","43,624.66","42,561.37","","-2.02%"
"07/05/2024","43,589.08","43,106.02","43,624.49","42,893.52","","1.40%"
"07/04/2024","42,986.00","43,421.75","43,525.13","42,974.18","","-0.94%"
"07/03/2024","43,396.06","43,297.25","43,581.25","43,198.48","","0.22%"
"07/02/2024","43,302.39","42,853.65","43,441.60","42,699.39","","1.13%"
"07/01/2024","42,817.63","42,174.90","42,921.59","41,712.14","","1.20%"
"06/28/2024","42,309.54","43,005.24","43,050.80","42,238.41","","-1.55%"
"06/27/2024","42,977.54","41,885.68","43,060.38","41,673.79","","2.96%"
"06/26/2024","41,743.01","42,298.74","42,519.07","41,676.52","","-1.25%"
"06/25/2024","42,270.04","42,255.02","42,519.04","41,983.52","","0.02%"
"06/24/2024","42,260.82","41,768.98","42,525.18","41,723.00","","1.33%"
"06/21/2024","41,706.94","42,433.09","42,588.84","41,636.33","","-1.67%"
"06/20/2024","42,413.32","41,810.30","42,694.64","41,750.91","","1.51%"
"06/19/2024","41,781.69","42,024.66","42,082.21","41,727.36","","-0.52%"
"06/18/2024","41,999.61","42,323.11","42,518.95","41,784.48","","-0.69%"
"06/17/2024","42,292.64","42,870.57","42,929.77","42,214.95","","-1.13%"
"06/14/2024","42,775.85","42,459.38","43,186.43","42,389.54","","0.82%"
"06/13/2024","42,428.58","42,720.31","42,752.39","42,365.86","","-0.59%"
"06/12/2024","42,680.23","43,115.38","43,302.17","42,570.41","","-0.95%"
"06/11/2024","43,088.31","43,259.80","43,365.80","42,806.80","","-0.37%"
"06/10/2024","43,249.83","43,282.35","43,488.18","42,927.70","","0.02%"
"06/07/2024","43,242.60","45,070.66","45,188.14","43,106.36","","-4.01%"
"06/06/2024","45,048.16","44,574.27","45,156.10","44,507.59","","1.13%"
"06/05/2024","44,546.12","43,533.74","44,702.16","43,487.66","","2.44%"
"06/04/2024","43,484.67","43,508.76","43,798.54","43,195.23","","0.08%"
"06/03/2024","43,451.66","43,788.61","43,967.34","43,249.41","","-0.71%"
"05/31/2024","43,764.10","43,983.67","44,335.55","43,621.48","","-0.45%"
"05/30/2024","43,962.33","43,038.17","43,994.08","42,948.09","","2.19%"
"05/29/2024","43,019.35","43,167.70","43,293.49","42,716.23","","-0.28%"
"05/28/2024","43,142.07","43,185.43","43,309.77","42,934.38","","-0.01%"
"05/27/2024","43,148.07","43,021.32","43,422.75","42,927.70","","0.27%"
"05/24/2024","43,032.09","43,007.25","43,299.48","42,853.36","","0.04%"
"05/23/2024","43,014.61","43,446.18","43,613.41","43,003.88","","-0.93%"
"05/22/2024","43,419.11","43,767.89","44,028.07","43,402.05","","-0.73%"
"05/21/2024","43,739.85","44,173.58","44,236.68","43,679.02","","-0.93%"
"05/20/2024","44,151.74","43,850.83","44,526.32","43,850.83","","0.74%"
"05/17/2024","43,825.91","43,258.23","43,988.79","43,167.47","","1.37%"
"05/16/2024","43,233.58","43,595.25","43,775.52","43,186.76","","-0.75%"
"05/15/2024","43,560.57","43,336.83","43,689.42","43,188.96","","0.71%"
"05/14/2024","43,255.01","42,850.30","43,424.89","42,835.64","","0.84%"
"05/13/2024","42,894.02","43,557.59","43,632.55","42,780.40","","-1.47%"
"05/10/2024","43,532.82","43,332.23","43,814.84","43,306.97","","0.46%"
"05/09/2024","43,335.61","42,995.09","43,370.12","42,736.48","","1.12%"
"05/08/2024","42,856.31","42,848.62","43,282.05","42,740.41","","0.06%"
"05/07/2024","42,831.35","42,835.27","43,067.13","42,638.35","","-0.16%"
"05/06/2024","42,899.85","42,572.16","43,038.64","42,462.29","","0.73%"
"05/03/2024","42,589.18","42,813.39","42,857.61","42,071.57","","-0.28%"
"05/02/2024","42,707.49","43,124.52","43,234.35","42,630.63","","-0.92%"
"05/01/2024","43,103.77","42,894.42","43,271.94","42,698.71","","0.44%"
"04/30/2024","42,914.12","43,548.85","43,638.28","42,909.80","","-1.28%"
"04/29/2024","43,469.93","44,063.02","44,063.02","43,472.50","","-1.07%"
"04/26/2024","43,938.72","44,411.46","44,806.57","43,807.23","","-1.00%"
"04/25/2024","44,382.75","44,517.95","44,647.13","44,061.45","","-0.25%"
"04/24/2024","44,491.90","44,400.80","44,941.14","44,213.68","","0.29%"
"04/23/2024","44,363.60","44,670.45","44,798.20","44,074.27","","-0.64%"
"04/22/2024","44,650.98","45,708.06","45,758.85","44,598.38","","-2.26%"
"04/19/2024","45,684.16","45,563.50","46,742.27","45,478.48","","0.32%"
"04/18/2024","45,539.23","44,903.86","45,812.12","44,864.21","","1.44%"
"04/17/2024","44,891.85","45,396.18","45,593.05","44,805.52","","-1.03%"
"04/16/2024","45,360.23","45,262.86","45,629.13","44,898.88","","0.30%"
"04/15/2024","45,224.70","44,212.14","45,331.66","44,210.85","","2.35%"
"04/12/2024","44,187.41","44,446.68","46,075.57","44,108.52","","-0.55%"
"04/11/2024","44,429.74","43,708.57","44,554.98","43,630.57","","1.43%"
"04/10/2024","43,801.87","43,442.13","44,125.80","43,258.52","","0.85%"
"04/09/2024","43,432.58","43,605.20","43,769.16","43,225.57","","-0.27%"
"04/08/2024","43,549.36","43,508.64","43,952.48","43,056.23","","0.15%"
"04/05/2024","43,484.73","42,859.43","43,592.15","42,462.25","","1.50%"
"04/04/2024","42,841.71","42,934.58","43,148.38","42,579.07","","-0.15%"
"04/03/2024","42,907.36","42,806.11","42,998.00","42,622.98","","0.26%"
"04/02/2024","42,794.04","42,654.80","42,827.58","42,348.93","","0.36%"
