Date,Code,Description,Unit of Measure,Value
1976/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1205
1976/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1069
1976/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,941
1976/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,809
1976/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,694
1976/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,640
1976/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,688
1976/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,703
1976/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,740
1976/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,734
1977/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,719
1977/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,645
1977/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,649
1977/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,757
1977/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,742
1977/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,749
1977/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,755
1977/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,712
1977/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,700
1977/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,682
1977/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,660
1977/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,636
1978/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,623
1978/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,631
1978/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,634
1978/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1659
1978/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1766
1978/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1774
1978/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1876
1978/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1920
1978/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2034
1978/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2266
1978/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2079
1978/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2044
1979/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2200
1979/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2457
1979/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2413
1979/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2408
1979/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2635
1979/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2548
1979/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2536
1979/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,2688
1979/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3411
1979/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3527
1979/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3483
1979/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4035
1980/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5568
1980/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5831
1980/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4749
1980/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4795
1980/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4810
1980/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5498
1980/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5902
1980/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5865
1980/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6484
1980/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5933
1980/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5786
1980/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5267
1981/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4891
1981/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5034
1981/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5502
1981/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4939
1981/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5063
1981/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4861
1981/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4783
1981/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5060
1981/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4901
1981/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4166
1981/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3762
1981/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3705
1982/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3489
1982/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3753
1982/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3453
1982/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3484
1982/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3444
1982/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3409
1982/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3612
1982/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3600
1982/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3987
1982/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3655
1982/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4181
1982/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3828
1983/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4559
1983/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4746
1983/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3679
1983/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4099
1983/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3776
1983/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3704
1983/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3919
1983/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4424
1983/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4165
1983/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3761
1983/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4017
1983/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4165
1984/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4372
1984/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4279
1984/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3982
1984/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3994
1984/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4185
1984/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4217
1984/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4935
1984/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4761
1984/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4810
1984/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4932
1984/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4985
1984/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4388
1985/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4776
1985/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4277
1985/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3963
1985/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4363
1985/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4258
1985/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4493
1985/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4409
1985/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5669
1985/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4402
1985/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4808
1985/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4819
1985/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4448
1986/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4904
1986/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4337
1986/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3804
1986/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3235
1986/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3530
1986/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3582
1986/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,3879
1986/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4555
1986/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5037
1986/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5593
1986/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5087
1986/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,4515
1987/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,5505
1987/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6220
1987/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6300
1987/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6718
1987/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,6864
